spider_vertebra_index	structure	n	p5	p25	p50	p75	p95
1	vertebra	210	5.145	8.031	10.208	12.305	15.492
2	vertebra	210	6.045	8.76	10.9	12.187	14.773
3	vertebra	210	6.838	9.812	11.463	12.646	14.598
4	vertebra	209	9.174	11.719	13.062	14.375	16.25
5	vertebra	209	11.526	13.125	14.375	15.573	17.063
6	vertebra	208	11.006	12.884	13.854	15.0	16.642
7	vertebra	134	9.961	11.758	13.117	13.75	15.0
8	vertebra	48	9.589	10.98	12.216	12.949	14.062
1	disc	209	3.396	5.438	7.491	10.625	14.599
2	disc	210	5.339	9.281	11.25	13.106	16.594
3	disc	210	6.615	9.375	11.237	12.474	14.773
4	disc	209	8.766	10.938	12.5	14.031	15.774
5	disc	209	10.625	12.396	13.854	15.313	16.945
6	disc	208	12.305	13.75	14.678	15.731	17.5
7	disc	135	11.043	12.35	13.594	14.583	15.625
8	disc	49	9.445	11.055	12.61	13.125	14.496
9	disc	12	9.593	11.882	12.473	12.74	13.74
